Data_Pnt,Data_Pnt_ms
1,-15.97
2,-15.94
3,-15.91
4,-15.88
5,-15.84
6,-15.81
7,-15.78
8,-15.75
9,-15.72
10,-15.69
11,-15.66
12,-15.63
13,-15.59
14,-15.56
15,-15.53
16,-15.5
17,-15.47
18,-15.44
19,-15.41
20,-15.38
21,-15.34
22,-15.31
23,-15.28
24,-15.25
25,-15.22
26,-15.19
27,-15.16
28,-15.13
29,-15.09
30,-15.06
31,-15.03
32,-15
33,-14.97
34,-14.94
35,-14.91
36,-14.88
37,-14.84
38,-14.81
39,-14.78
40,-14.75
41,-14.72
42,-14.69
43,-14.66
44,-14.63
45,-14.59
46,-14.56
47,-14.53
48,-14.5
49,-14.47
50,-14.44
51,-14.41
52,-14.38
53,-14.34
54,-14.31
55,-14.28
56,-14.25
57,-14.22
58,-14.19
59,-14.16
60,-14.13
61,-14.09
62,-14.06
63,-14.03
64,-14
65,-13.97
66,-13.94
67,-13.91
68,-13.88
69,-13.84
70,-13.81
71,-13.78
72,-13.75
73,-13.72
74,-13.69
75,-13.66
76,-13.63
77,-13.59
78,-13.56
79,-13.53
80,-13.5
81,-13.47
82,-13.44
83,-13.41
84,-13.38
85,-13.34
86,-13.31
87,-13.28
88,-13.25
89,-13.22
90,-13.19
91,-13.16
92,-13.13
93,-13.09
94,-13.06
95,-13.03
96,-13
97,-12.97
98,-12.94
99,-12.91
100,-12.88
101,-12.84
102,-12.81
103,-12.78
104,-12.75
105,-12.72
106,-12.69
107,-12.66
108,-12.63
109,-12.59
110,-12.56
111,-12.53
112,-12.5
113,-12.47
114,-12.44
115,-12.41
116,-12.38
117,-12.34
118,-12.31
119,-12.28
120,-12.25
121,-12.22
122,-12.19
123,-12.16
124,-12.13
125,-12.09
126,-12.06
127,-12.03
128,-12
129,-11.97
130,-11.94
131,-11.91
132,-11.88
133,-11.84
134,-11.81
135,-11.78
136,-11.75
137,-11.72
138,-11.69
139,-11.66
140,-11.63
141,-11.59
142,-11.56
143,-11.53
144,-11.5
145,-11.47
146,-11.44
147,-11.41
148,-11.38
149,-11.34
150,-11.31
151,-11.28
152,-11.25
153,-11.22
154,-11.19
155,-11.16
156,-11.13
157,-11.09
158,-11.06
159,-11.03
160,-11
161,-10.97
162,-10.94
163,-10.91
164,-10.88
165,-10.84
166,-10.81
167,-10.78
168,-10.75
169,-10.72
170,-10.69
171,-10.66
172,-10.63
173,-10.59
174,-10.56
175,-10.53
176,-10.5
177,-10.47
178,-10.44
179,-10.41
180,-10.38
181,-10.34
182,-10.31
183,-10.28
184,-10.25
185,-10.22
186,-10.19
187,-10.16
188,-10.13
189,-10.09
190,-10.06
191,-10.03
192,-10
193,-9.97
194,-9.94
195,-9.91
196,-9.88
197,-9.84
198,-9.81
199,-9.78
200,-9.75
201,-9.72
202,-9.69
203,-9.66
204,-9.63
205,-9.59
206,-9.56
207,-9.53
208,-9.5
209,-9.47
210,-9.44
211,-9.41
212,-9.38
213,-9.34
214,-9.31
215,-9.28
216,-9.25
217,-9.22
218,-9.19
